username;taster_name;taster_twitter_handle;email;password;num_reviews;avg_rating
Kerin_O_Keefe;Kerin O’Keefe;@kerinokeefe;Kerin_O_Keefe@email.com;pwd;0;0
Roger_Voss;Roger Voss;@vossroger;Roger_Voss@email.com;pwd;0;0
Paul_Gregutt;Paul Gregutt;@paulgwine ;Paul_Gregutt@email.com;pwd;0;0
Alexander_Peartree;Alexander Peartree;;Alexander_Peartree@email.com;pwd;0;0
Michael_Schachner;Michael Schachner;@wineschach;Michael_Schachner@email.com;pwd;0;0
Anna_Lee_C_Iijima;Anna Lee C. Iijima;;Anna_Lee_C_Iijima@email.com;pwd;0;0
Virginie_Boone;Virginie Boone;@vboone;Virginie_Boone@email.com;pwd;0;0
Matt_Kettmann;Matt Kettmann;@mattkettmann;Matt_Kettmann@email.com;pwd;0;0
Sean_P_Sullivan;Sean P. Sullivan;@wawinereport;Sean_P_Sullivan@email.com;pwd;0;0
Jim_Gordon;Jim Gordon;@gordone_cellars;Jim_Gordon@email.com;pwd;0;0
Joe_Czerwinski;Joe Czerwinski;@JoeCz;Joe_Czerwinski@email.com;pwd;0;0
Anne_Krebiehl_MW;Anne Krebiehl MW;@AnneInVino;Anne_Krebiehl_MW@email.com;pwd;0;0
Lauren_Buzzeo;Lauren Buzzeo;@laurbuzz;Lauren_Buzzeo@email.com;pwd;0;0
Mike_DeSimone;Mike DeSimone;@worldwineguys;Mike_DeSimone@email.com;pwd;0;0
Jeff_Jenssen;Jeff Jenssen;@worldwineguys;Jeff_Jenssen@email.com;pwd;0;0
Susan_Kostrzewa;Susan Kostrzewa;@suskostrzewa;Susan_Kostrzewa@email.com;pwd;0;0
Carrie_Dykes;Carrie Dykes;;Carrie_Dykes@email.com;pwd;0;0
Fiona_Adams;Fiona Adams;@bkfiona;Fiona_Adams@email.com;pwd;0;0
Christina_Pickard;Christina Pickard;@winewchristina;Christina_Pickard@email.com;pwd;0;0
